Content,EventTemplate
63543 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
162 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
generating core.775,generating core.<*>
force load/store alignment...............0,force load/store alignment...............<*>
generating core.4155,generating core.<*>
generating core.449,generating core.<*>
generating core.6990,generating core.<*>
"CE sym 20, at 0x01228120, mask 0x10","CE sym <*>, at <*>, mask <*>"
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
generating core.1990,generating core.<*>
generating core.1973,generating core.<*>
ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,ciod: LOGIN chdir(<*>) failed: No such file or directory
generating core.3401,generating core.<*>
generating core.25350,generating core.<*>
data TLB error interrupt,data TLB error interrupt
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>
data storage interrupt,data storage interrupt
data address: 0x00000002,data address: <*>
machine check: i-fetch......................0,machine check: i-fetch......................<*>
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>
program interrupt: trap instruction.........0,program interrupt: trap instruction.........<*>
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>
store operation.............................1,store operation.............................<*>
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>
"problem state (0=sup,1=usr).......0","problem state (<*>=sup,<*>=usr).......<*>"
floating point instr. enabled.....1,floating point instr. enabled.....<*>
auxiliary processor.........................0,auxiliary processor.........................<*>
machine check enable..............0,machine check enable..............<*>
floating pt ex mode 0 enable......0,floating pt ex mode <*> enable......<*>
program interrupt: unimplemented operation..0,program interrupt: unimplemented operation..<*>
byte ordering exception.....................0,byte ordering exception.....................<*>
core configuration register: 0x00002000,core configuration register: <*>
program interrupt: fp cr update.............0,program interrupt: fp cr update.............<*>
guaranteed instruction cache block touch.0,guaranteed instruction cache block touch.<*>
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>
icache prefetch depth....................0,icache prefetch depth....................<*>
icache prefetch threshold................0,icache prefetch threshold................<*>
wait state enable.................0,wait state enable.................<*>
critical input interrupt enable...0,critical input interrupt enable...<*>
special purpose registers:,special purpose registers:
lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,lr:<*> cr:<*> xer:<*> ctr:<*>
rts internal error,rts internal error
debug wait enable.................0,debug wait enable.................<*>
instruction address space.........0,instruction address space.........<*>
disable store gathering..................0,disable store gathering..................<*>
generating core.2040,generating core.<*>
generating core.6037,generating core.<*>
"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory","ciod: Error loading <*>: invalid or missing program image, No such file or directory"
ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,ciod: Error creating node map from file <*>: No child processes
generating core.4660,generating core.<*>
"ciod: Error loading ./runtime_malloc: invalid or missing program image, No such file or directory","ciod: Error loading <*>: invalid or missing program image, No such file or directory"
199680 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
3091200 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
generating core.9369,generating core.<*>
generating core.58616,generating core.<*>
generating core.10752,generating core.<*>
program interrupt,program interrupt
program interrupt: illegal instruction......1,program interrupt: illegal instruction......<*>
instruction address: 0x0062fe04,instruction address: <*>
exception syndrome register: 0x08000000,exception syndrome register: <*>
ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,ciod: Error creating node map from file <*>: Bad file descriptor
generating core.536,generating core.<*>
generating core.3389,generating core.<*>
Can not get assembly information for node card,Can not get assembly information for node card
generating core.20088,generating core.<*>
generating core.7187,generating core.<*>
generating core.7915,generating core.<*>
ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile,ciod: Missing or invalid fields on line <*> of node map file /<*>
generating core.319,generating core.<*>
ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /<*>
ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,ciod: Error creating node map from file <*>: Block device required
generating core.38077,generating core.<*>
generating core.245,generating core.<*>
generating core.30230,generating core.<*>
generating core.40344,generating core.<*>
generating core.9784,generating core.<*>
1365301360 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
generating core.18514,generating core.<*>
generating core.8803,generating core.<*>
generating core.1957,generating core.<*>
generating core.3792,generating core.<*>
"ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory","ciod: Error loading <*>: invalid or missing program image, No such file or directory"
rts panic! - stopping execution,rts panic! - stopping execution
generating core.14070,generating core.<*>
114091808 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
112625368 double-hummer alignment exceptions,<*> double-hummer alignment exceptions
generating core.17999,generating core.<*>
generating core.2600,generating core.<*>
generating core.3181,generating core.<*>
generating core.5009,generating core.<*>
ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,ciod: Error creating node map from file <*>: Permission denied
ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file /<*>
generating core.84,generating core.<*>
generating core.20595,generating core.<*>
generating core.27867,generating core.<*>
generating core.21016,generating core.<*>
"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015","rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>"
generating core.176,generating core.<*>
15 floating point alignment exceptions,<*> floating point alignment exceptions
generating core.9315,generating core.<*>
generating core.2241,generating core.<*>
generating core.118,generating core.<*>
generating core.9997,generating core.<*>
generating core.2105,generating core.<*>
generating core.306,generating core.<*>
NodeCard is not fully functional,NodeCard is not fully functional
