Content,EventTemplate
PacketResponder 1 for block blk_5017373558217225674 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 0 for block blk_-5852844080027817147 terminating,PacketResponder <*> for block blk_<*> terminating
10.250.5.237:50010 Served block blk_3166960787499091856 to /10.251.43.147,<*>:<*> Served block blk_<*> to /<*>
10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.214.32:50010 Served block blk_-6520030462660619051 to /10.251.215.70,<*>:<*> Served block blk_<*> to /<*>
10.251.202.134:50010:Got exception while serving blk_3441699978641526775 to /10.251.126.5:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.250.10.144:50010:Got exception while serving blk_5126469776250053435 to /10.250.11.100:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.71.146:50010:Got exception while serving blk_-2032740670708110312 to /10.251.197.161:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.111.80:50010 Served block blk_6296828743242110158 to /10.251.42.246,<*>:<*> Served block blk_<*> to /<*>
10.251.35.1:50010:Got exception while serving blk_7940316270494947483 to /10.251.122.38:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
Receiving block blk_-7172347691639518373 src: /10.251.111.37:35327 dest: /10.251.111.37:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 1 for block blk_2028803850179311599 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-00318. blk_2096692261399680562,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Received block blk_-4067446915270471579 of size 25933924 from /10.251.110.8,Received block blk_<*> of size <*> from /<*>
Receiving block blk_-2015110815660478655 src: /10.251.35.1:53344 dest: /10.251.35.1:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 2 for block blk_-5215520749152394224 terminating,PacketResponder <*> for block blk_<*> terminating
Verification succeeded for blk_6996194389878584395,Verification succeeded for blk_<*>
PacketResponder 1 for block blk_8060713381303305129 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 1 for block blk_-4196449318426994195 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 1 for block blk_-26568864070436835 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_7672124247291403094 src: /10.251.66.3:55531 dest: /10.251.66.3:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 1 for block blk_-5569558931000121451 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 1 for block blk_1997668456720275587 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 1 for block blk_6465095458973828118 terminating,PacketResponder <*> for block blk_<*> terminating
