Content,EventTemplate
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
clusterAddMember  (command 1902),clusterAddMember  (command <*>)
clusterAddMember  (command 1900),clusterAddMember  (command <*>)
risBoot  (command 1903),risBoot  (command <*>)
bootGenvmunix  (command 1903),bootGenvmunix  (command <*>)
boot  (command 1911),boot  (command <*>)
boot  (command 1978),boot  (command <*>)
boot  (command 1967),boot  (command <*>)
wait  (command 1975),wait  (command <*>)
boot  (command 1999),boot  (command <*>)
halt  (command 1982),halt  (command <*>)
boot  (command 1981),boot  (command <*>)
wait  (command 1973),wait  (command <*>)
wait  (command 2057),wait  (command <*>)
wait  (command 2154),wait  (command <*>)
boot  (command 2110),boot  (command <*>)
boot  (command 2160),boot  (command <*>)
halt  (command 2221),halt  (command <*>)
wait  (command 2201),wait  (command <*>)
wait  (command 2189),wait  (command <*>)
wait  (command 2302),wait  (command <*>)
wait  (command 2270),wait  (command <*>)
boot  (command 2257),boot  (command <*>)
wait  (command 2322),wait  (command <*>)
wait  (command 2354),wait  (command <*>)
boot  (command 2406),boot  (command <*>)
boot  (command 2464),boot  (command <*>)
wait  (command 2511),wait  (command <*>)
wait  (command 2607),wait  (command <*>)
boot  (command 2602),boot  (command <*>)
boot  (command 2550),boot  (command <*>)
wait  (command 2800),wait  (command <*>)
boot  (command 2790),boot  (command <*>)
wait  (command 2909),wait  (command <*>)
boot  (command 2999),boot  (command <*>)
halt  (command 2992),halt  (command <*>)
wait  (command 3079),wait  (command <*>)
boot  (command 3138),boot  (command <*>)
boot  (command 3169),boot  (command <*>)
boot  (command 3194),boot  (command <*>)
boot  (command 3334),boot  (command <*>)
wait  (command 3412),wait  (command <*>)
boot  (command 3473),boot  (command <*>)
boot  (command 3580),boot  (command <*>)
boot  (command 3615),boot  (command <*>)
wait  (command 3609),wait  (command <*>)
wait  (command 3649),wait  (command <*>)
wait  (command 3690),wait  (command <*>)
boot  (command 3696),boot  (command <*>)
wait  (command 3698),wait  (command <*>)
wait  (command 3709),wait  (command <*>)
wait  (command 3847),wait  (command <*>)
boot  (command 3951),boot  (command <*>)
boot  (command 3939),boot  (command <*>)
wait  (command 3981),wait  (command <*>)
boot  (command 4024),boot  (command <*>)
boot  (command 4118),boot  (command <*>)
wait  (command 4145),wait  (command <*>)
boot  (command 4170),boot  (command <*>)
wait  (command 4176),wait  (command <*>)
bootGenvmunix  (command 4185),bootGenvmunix  (command <*>)
boot  (command 4223),boot  (command <*>)
wait  (command 4219),wait  (command <*>)
Command has completed successfully,Command has completed successfully
Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],Targeting domains:node-D<*>and nodes:node-<*>
Targeting domains:node-D4 and nodes:node-[128-135] child of command 2401,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
Targeting domains:node-D0 and nodes:node-[8-31] child of command 2489,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
Targeting domains:node-D0 and nodes:node-0,Targeting domains:node-D<*>and nodes:node-<*>
Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],Targeting domains:node-D<*>and nodes:node-<*>
Targeting domains:node-D2 and nodes:node-[64-95] child of command 3488,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>
Targeting domains:node-D2 and nodes:node-84,Targeting domains:node-D<*>and nodes:node-<*>
