Content,EventTemplate
onExtend:1514038530000 14 0 4,onExtend:<*> <*> <*> <*>
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON
processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
flush sensor data,flush sensor data
 getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>
REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>
REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>
onStandStepChanged 3583,onStandStepChanged <*>
REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>
REPORT : 7012 5006 150197 240,REPORT : <*> <*> <*> <*>
REPORT : 7013 5007 150218 240,REPORT : <*> <*> <*> <*>
REPORT : 7015 5008 150261 240,REPORT : <*> <*> <*> <*>
onReceive action: android.intent.action.SCREEN_OFF,onReceive action: android.intent.action.SCREEN_OFF
isScreenOn true,isScreenOn true
"screen status unknown,think screen on","screen status unknown,think screen on"
REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>
onStandStepChanged 3590,onStandStepChanged <*>
REPORT : 7018 5010 150325 240,REPORT : <*> <*> <*> <*>
REPORT : 7020 5012 150368 240,REPORT : <*> <*> <*> <*>
REPORT : 7021 5012 150389 240,REPORT : <*> <*> <*> <*>
REPORT : 7022 5013 150411 240,REPORT : <*> <*> <*> <*>
calculateCaloriesWithCache totalCalories=127118,calculateCaloriesWithCache totalCalories=<*>
REPORT : 7025 5015 150475 240,REPORT : <*> <*> <*> <*>
REPORT : 7026 5016 150496 240,REPORT : <*> <*> <*> <*>
onStandStepChanged 3599,onStandStepChanged <*>
calculateCaloriesWithCache totalCalories=127204,calculateCaloriesWithCache totalCalories=<*>
REPORT : 7027 5017 150518 240,REPORT : <*> <*> <*> <*>
 getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
onStandStepChanged 3602,onStandStepChanged <*>
REPORT : 7031 5020 150604 240,REPORT : <*> <*> <*> <*>
REPORT : 7032 5020 150625 240,REPORT : <*> <*> <*> <*>
REPORT : 7034 5022 150668 240,REPORT : <*> <*> <*> <*>
REPORT : 7040 5026 150796 240,REPORT : <*> <*> <*> <*>
calculateCaloriesWithCache totalCalories=127504,calculateCaloriesWithCache totalCalories=<*>
REPORT : 7042 5027 150839 240,REPORT : <*> <*> <*> <*>
onStandStepChanged 3616,onStandStepChanged <*>
REPORT : 7044 5029 150882 240,REPORT : <*> <*> <*> <*>
REPORT : 7045 5030 150903 240,REPORT : <*> <*> <*> <*>
REPORT : 7048 5032 150968 240,REPORT : <*> <*> <*> <*>
REPORT : 7050 5033 151011 240,REPORT : <*> <*> <*> <*>
REPORT : 7052 5035 151053 240,REPORT : <*> <*> <*> <*>
REPORT : 7058 5039 151182 240,REPORT : <*> <*> <*> <*>
REPORT : 7060 5040 151225 240,REPORT : <*> <*> <*> <*>
REPORT : 7064 5043 151310 240,REPORT : <*> <*> <*> <*>
