Content,EventTemplate
reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
Invalid user webmaster from 173.234.31.186,Invalid user <*> from <*>
input_userauth_request: invalid user webmaster [preauth],input_userauth_request: invalid user <*> [preauth]
pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user unknown
Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth]
Connection closed by 212.47.254.145 [preauth],Connection closed by <*> [preauth]
Invalid user test9 from 52.80.34.196,Invalid user <*> from <*>
input_userauth_request: invalid user test9 [preauth],input_userauth_request: invalid user <*> [preauth]
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
Invalid user chen from 202.100.179.208,Invalid user <*> from <*>
input_userauth_request: invalid user chen [preauth],input_userauth_request: invalid user <*> [preauth]
Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
Failed password for root from 5.36.59.76 port 42393 ssh2,Failed password for <*> from <*> port <*> ssh2
Disconnecting: Too many authentication failures for root [preauth],Disconnecting: Too many authentication failures for root [preauth]
PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>  user=root
PAM service(sshd) ignoring max retries; 6 > 3,PAM service(sshd) ignoring max retries; <*> > <*>
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
Invalid user pgadmin from 112.95.230.3,Invalid user <*> from <*>
input_userauth_request: invalid user pgadmin [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for root from 112.95.230.3 port 37035 ssh2,Failed password for <*> from <*> port <*> ssh2
Invalid user utsims from 112.95.230.3,Invalid user <*> from <*>
input_userauth_request: invalid user utsims [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user utsims from 112.95.230.3 port 41506 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for root from 112.95.230.3 port 46577 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for root from 112.95.230.3 port 51982 ssh2,Failed password for <*> from <*> port <*> ssh2
Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
Failed password for root from 123.235.32.19 port 50950 ssh2,Failed password for <*> from <*> port <*> ssh2
Did not receive identification string from 123.235.32.19,Did not receive identification string from <*>
Did not receive identification string from 177.79.82.136,Did not receive identification string from <*>
Invalid user inspur from 183.136.162.51,Invalid user <*> from <*>
input_userauth_request: invalid user inspur [preauth],input_userauth_request: invalid user <*> [preauth]
reverse mapping checking getaddrinfo for 191-210-223-172.user.vivozap.com.br [191.210.223.172] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
