Content,EventTemplate
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required
Local disconnected: Connection closed.,Local disconnected: Connection closed.
connection lost: 'Connection closed.',connection lost: 'Connection closed.'
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
unable to qualify my own domain name (eadmin1) -- using short name,unable to qualify my own domain name (<*>) -- using short name
unable to qualify my own domain name (badmin1) -- using short name,unable to qualify my own domain name (<*>) -- using short name
unable to qualify my own domain name (dadmin1) -- using short name,unable to qualify my own domain name (<*>) -- using short name
"jA9J1WSU011176: from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=#7#@localhost","<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
"jA9J1WFE024258: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1627080, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]","<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,DHCPDISCOVER from <*> via eth1
