Content,EventTemplate
Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,Loaded Servicing Stack <*> with Core: <*>\cbscore.dll
00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.
Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.
TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.
SQM: Initializing online with Windows opt-in: False,SQM: Initializing online with Windows opt-in: False
SQM: Cleaning up report files older than 10 days.,SQM: Cleaning up report files older than <*> days.
SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.
"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]","SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]"
SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL]
"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6","SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>"
SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL]
"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.
"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""","<*> Creating NT transaction (seq <*>), objectname [<*>]""(null)"""
"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214","<*> Created NT transaction (seq <*>) result <*>, handle @<*>"
00000007@2016/9/27:20:30:31.462 CSI perf trace:,<*> CSI perf trace:
"NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected."
Startup processing thread terminated normally,Startup processing thread terminated normally
00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,<*> CSI Store <*> (<*>) initialized
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE]
Session: 30546173_4280633483 initialized by client WindowsUpdateAgent.,Session: <*>_<*> initialized by client WindowsUpdateAgent.
"Read out cached package applicability for package: Package_for_KB3121255~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112","Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>"
Session: 30546173_4286503818 initialized by client WindowsUpdateAgent.,Session: <*>_<*> initialized by client WindowsUpdateAgent.
