Content,EventTemplate
Notification time out: 3200,Notification time out: <*>
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.13:58421,Received connection request /<*>:<*>
Received connection request /10.10.34.12:48280,Received connection request /<*>:<*>
Received connection request /10.10.34.12:48413,Received connection request /<*>:<*>
Received connection request /10.10.34.11:46519,Received connection request /<*>:<*>
Received connection request /10.10.34.13:59037,Received connection request /<*>:<*>
Received connection request /10.10.34.11:46798,Received connection request /<*>:<*>
Received connection request /10.10.34.13:59130,Received connection request /<*>:<*>
Received connection request /10.10.34.12:48922,Received connection request /<*>:<*>
Received connection request /10.10.34.11:47615,Received connection request /<*>:<*>
Received connection request /10.10.34.12:49610,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.13:60070,Received connection request /<*>:<*>
Received connection request /10.10.34.12:50043,Received connection request /<*>:<*>
Received connection request /10.10.34.13:60423,Received connection request /<*>:<*>
Received connection request /10.10.34.12:50332,Received connection request /<*>:<*>
Received connection request /10.10.34.12:50434,Received connection request /<*>:<*>
Received connection request /10.10.34.13:60834,Received connection request /<*>:<*>
Received connection request /10.10.34.13:60996,Received connection request /<*>:<*>
Received connection request /10.10.34.13:32924,Received connection request /<*>:<*>
Received connection request /10.10.34.13:33010,Received connection request /<*>:<*>
Received connection request /10.10.34.12:51050,Received connection request /<*>:<*>
Received connection request /10.10.34.13:33225,Received connection request /<*>:<*>
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,Closed socket connection for client /<*>:<*> which had sessionid <*>
caught end of stream exception,caught end of stream exception
Client attempting to renew session 0x24ed93119420016 at /10.10.34.13:37115,Client attempting to renew session <*> at /<*>:<*>
Client attempting to establish new session at /10.10.34.19:33425,Client attempting to establish new session at /<*>:<*>
Accepted socket connection from /10.10.34.26:56952,Accepted socket connection from /<*>:<*>
Unexpected Exception:,Unexpected Exception:
Established session 0x14ed93111f2005b with negotiated timeout 10000 for client /10.10.34.28:52117,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Accepted socket connection from /10.10.34.30:38562,Accepted socket connection from /<*>:<*>
Accepted socket connection from /10.10.34.36:32876,Accepted socket connection from /<*>:<*>
Accepted socket connection from /10.10.34.11:45997,Accepted socket connection from /<*>:<*>
Client attempting to establish new session at /10.10.34.11:50301,Client attempting to establish new session at /<*>:<*>
Client attempting to establish new session at /10.10.34.20:56414,Client attempting to establish new session at /<*>:<*>
Closed socket connection for client /10.10.34.11:52893 which had sessionid 0x14ed93111f2009b,Closed socket connection for client /<*>:<*> which had sessionid <*>
Accepted socket connection from /10.10.34.29:39387,Accepted socket connection from /<*>:<*>
Client attempting to establish new session at /10.10.34.12:45668,Client attempting to establish new session at /<*>:<*>
Connection request from old client /10.10.34.42:34164; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Client attempting to establish new session at /10.10.34.12:45675,Client attempting to establish new session at /<*>:<*>
Server environment:user.dir=/,Server environment:<*>
Cannot open channel to 2 at election address /10.10.34.12:3888,Cannot open channel to <*> at election address /<*>:<*>
Client attempting to establish new session at /10.10.34.12:43125,Client attempting to establish new session at /<*>:<*>
"Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded","Expiring session <*>, timeout of <*>ms exceeded"
Connection request from old client /10.10.34.13:38079; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Closed socket connection for client /10.10.34.13:38088 which had sessionid 0x14ede63a5a70048,Closed socket connection for client /<*>:<*> which had sessionid <*>
Client attempting to establish new session at /10.10.34.21:37904,Client attempting to establish new session at /<*>:<*>
******* GOODBYE /10.10.34.12:35276 ********,******* GOODBYE /<*>:<*> ********
LOOKING,LOOKING
Cannot open channel to 3 at election address /10.10.34.13:3888,Cannot open channel to <*> at election address /<*>:<*>
Established session 0x14edfaa86f60013 with negotiated timeout 10000 for client /10.10.34.27:44600,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Accepted socket connection from /10.10.34.12:34568,Accepted socket connection from /<*>:<*>
My election bind port: 0.0.0.0/0.0.0.0:3888,My election bind port: <*>/<*>:<*>
"Have smaller server identifier, so dropping the connection: (2, 1)","Have smaller server identifier, so dropping the connection: (<*>, <*>)"
FOLLOWING,FOLLOWING
"New election. My id =  1, proposed zxid=0x700000000","New election. My id =  <*>, proposed zxid=<*>"
Server environment:host.name=mesos-master-1,Server environment:<*>
FOLLOWING - LEADER ELECTION TOOK - 49,FOLLOWING - LEADER ELECTION TOOK - <*>
Client attempting to establish new session at /10.10.34.11:40061,Client attempting to establish new session at /<*>:<*>
Established session 0x14ee3e057ed002c with negotiated timeout 10000 for client /10.10.34.19:43049,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Client attempting to establish new session at /10.10.34.40:58713,Client attempting to establish new session at /<*>:<*>
"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LEADING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state)","Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)"
FOLLOWING - LEADER ELECTION TOOK - 238,FOLLOWING - LEADER ELECTION TOOK - <*>
Client attempting to establish new session at /10.10.34.15:54175,Client attempting to establish new session at /<*>:<*>
Connection request from old client /10.10.34.16:40418; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
autopurge.snapRetainCount set to 3,autopurge.snapRetainCount set to <*>
Server environment:java.vendor=Oracle Corporation,Server environment:<*>
Established session 0x14f05578bd80013 with negotiated timeout 10000 for client /10.10.34.11:38530,Established session <*> with negotiated timeout <*> for client /<*>:<*>
"Server environment:zookeeper.version=3.4.5--1, built on 06/10/2013 17:26 GMT",Server environment:<*>
Server environment:user.name=zookeeper,Server environment:<*>
Revalidating client: 0x14f05578bd80013,Revalidating client: <*>
Received connection request /10.10.34.12:34051,Received connection request /<*>:<*>
Server environment:os.name=Linux,Server environment:<*>
Client attempting to establish new session at /10.10.34.12:58349,Client attempting to establish new session at /<*>:<*>
Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running
"Notification: 2 (n.leader), 0xb00000084 (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LOOKING (my state)","Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)"
"Notification: 3 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0xb (n.peerEPoch), FOLLOWING (my state)","Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)"
Accepted socket connection from /10.10.34.18:36934,Accepted socket connection from /<*>:<*>
Connection request from old client /10.10.34.13:50545; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Accepted socket connection from /10.10.34.30:43278,Accepted socket connection from /<*>:<*>
tickTime set to 2000,tickTime set to <*>
Notification time out: 60000,Notification time out: <*>
"Connection broken for id 3, my id = 1, error =","Connection broken for id <*>, my id = <*>, error ="
Unexpected exception causing shutdown while sock still open,Unexpected exception causing shutdown while sock still open
******* GOODBYE /10.10.34.11:52264 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.11:52308 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.12:59060 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.12:59103 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.13:57247 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.13:57319 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.11:52476 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.12:59203 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.12:59211 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.11:52502 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.13:57458 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.11:52703 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.12:59406 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.13:57580 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.11:52818 ********,******* GOODBYE /<*>:<*> ********
******* GOODBYE /10.10.34.13:57653 ********,******* GOODBYE /<*>:<*> ********
"Connection broken for id 188978561024, my id = 2, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:42813,Received connection request /<*>:<*>
Received connection request /10.10.34.13:42917,Received connection request /<*>:<*>
Received connection request /10.10.34.12:55289,Received connection request /<*>:<*>
Received connection request /10.10.34.11:58635,Received connection request /<*>:<*>
Received connection request /10.10.34.13:43358,Received connection request /<*>:<*>
Received connection request /10.10.34.12:55548,Received connection request /<*>:<*>
Received connection request /10.10.34.13:43557,Received connection request /<*>:<*>
Received connection request /10.10.34.13:43921,Received connection request /<*>:<*>
Received connection request /10.10.34.11:59897,Received connection request /<*>:<*>
Received connection request /10.10.34.11:60213,Received connection request /<*>:<*>
Received connection request /10.10.34.12:56830,Received connection request /<*>:<*>
Received connection request /10.10.34.11:60575,Received connection request /<*>:<*>
Received connection request /10.10.34.12:57197,Received connection request /<*>:<*>
Received connection request /10.10.34.12:57977,Received connection request /<*>:<*>
Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = NodeExists for <*>
Accepted socket connection from /10.10.34.16:56610,Accepted socket connection from /<*>:<*>
